macro,expandsTo,description,isAllGames,games
3B4O,"[QQ+,AKs]",3-bet ~4% vs open (OOP),yes,
3B6O,"[QQ+,AKs,AKo,AQs]",3-bet ~6% vs open (OOP),yes,
3B6I,"[QQ+,AKs,AKo,AQs,AJs,KQs]",3-bet ~6% vs open (IP),yes,
3B8I,"[JJ+,AKs,AKo,AQs,AJs,KQs,TT]",3-bet ~8% vs open (IP),yes,
3B10O,"[TT+,AKs,AKo,AQs,AJs,KQs]",3-bet ~10% vs open (OOP),yes,
3B10,"[AA,KK,QQ,JJ,AKs,AKo,AQs,AJs,KQs]",3-bet ~10% range,yes,
3B15O,"[TT+,AKs,AKo,AQs,AJs,ATs,KQs,KJs,QJs]",3-bet ~15% vs open (OOP),yes,
3B15I,"[TT+,AKs,AKo,AQs,AJs,KQs,KJs,QJs,ATs,AJ]",3-bet ~15% vs open (IP),yes,
4B3,"[QQ+,AKs]",4-bet ~3%,yes,
4B4,"[JJ+,AKs,AKo]",4-bet ~4%,yes,
FI15,"[22+,A2s+,K9s+,Q9s+,J9s+,T9s,A9o+,KTo+,QTo+,JTo]",First-In Raise ~15%,yes,
FI20,"[22+,A2s+,K9s+,Q9s+,J9s+,T8s+,98s,A8o+,KTo+,QTo+,JTo]",First-In Raise ~20%,yes,
FI25,"[22+,A2s+,K8s+,Q8s+,J8s+,T8s+,97s+,87s,A8o+,K9o+,QTo+,JTo]",First-In Raise ~25%,yes,
FI30,"[22+,A2s+,K7s+,Q8s+,J8s+,T7s+,97s+,87s,76s,A7o+,K9o+,Q9o+,JTo]",First-In Raise ~30%,yes,
FI35,"[22+,A2s+,K5s+,Q7s+,J7s+,T7s+,97s+,86s+,76s,65s,A6o+,K8o+,Q9o+,J9o+,T9o]",First-In Raise ~35%,yes,
FI40,"[22+,A2s+,K5s+,Q6s+,J7s+,T6s+,97s+,86s+,75s+,65s,A6o+,K7o+,Q8o+,J8o+,T9o]",First-In Raise ~40%,yes,
FI50,"[22+,A2s+,K2s+,Q5s+,J5s+,T5s+,95s+,85s+,74s+,64s+,54s,A2o+,K7o+,Q8o+,J8o+,T8o+,98o]",First-In Raise ~50%,yes,
FI60,"[22+,A2s+,K2s+,Q2s+,J2s+,T2s+,94s+,84s+,73s+,63s+,53s+,43s,A2o+,K5o+,Q7o+,J7o+,T7o+,97o+,87o]",First-In Raise ~60%,yes,
3B8O,"[JJ,QQ,KK,AA,AKs,AKo,AQs,AJs,KQs,TT]",3-bet ~8% OOP,yes,
3B10I,"[TT+,AKs,AKo,AQs,AJs,KQs,AJ]",3-bet ~10% vs open (IP),yes,
3B15,"[TT+,AKs,AKo,AQs,AJs,ATs,KQs,KJs,QJs,AJ]",3-bet ~15% range,yes,
3B6,"[QQ+,AKs,AKo,AQs,AJs,KQs]",3-bet ~6% range,yes,
